model,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3,threshold,FailureIDs,detected_failure_ids,undetected_failure_ids,undetectable_failure_ids
dave2-p10-track1-mcd_5_S32,max,xai-track1-rain-50,2,2,0,0,1,100,0,40,100,87,0.0025573495938680567,"[2138, 2488]","[2138, 2488]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-rain-50,2,2,0,0,2,100,0,40,100,87,0.0025573495938680567,"[2138, 2488]","[2138, 2488]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-rain-50,2,2,0,0,3,100,0,40,100,87,0.0025573495938680567,"[2138, 2488]","[2138, 2488]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-rain-60,2,2,0,0,1,100,0,40,100,87,0.0025573495938680567,"[2262, 2610]","[2262, 2610]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-rain-60,2,2,0,0,2,100,0,40,100,87,0.0025573495938680567,"[2262, 2610]","[2262, 2610]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-rain-60,2,2,0,0,3,100,0,40,100,87,0.0025573495938680567,"[2262, 2610]","[2262, 2610]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-rain-70,2,2,0,0,1,100,0,40,100,87,0.0025573495938680567,"[2154, 2614]","[2154, 2614]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-rain-70,2,1,1,0,2,99,0,25,50,45,0.0025573495938680567,"[2154, 2614]",[2614],[2154],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-rain-70,2,2,0,0,3,100,0,40,100,87,0.0025573495938680567,"[2154, 2614]","[2154, 2614]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-rain-80,3,3,0,0,1,100,0,50,100,91,0.0025573495938680567,"[1550, 2428, 2761]","[1550, 2428, 2761]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-rain-80,3,3,0,0,2,100,0,50,100,91,0.0025573495938680567,"[1550, 2428, 2761]","[1550, 2428, 2761]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-rain-80,3,3,0,0,3,100,0,50,100,91,0.0025573495938680567,"[1550, 2428, 2761]","[1550, 2428, 2761]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-rain-90,2,2,0,1,1,100,0,40,100,87,0.0025573495938680567,"[2053, 2521, 2537]","[2053, 2521]",[],[2537]
dave2-p10-track1-mcd_5_S32,max,xai-track1-rain-90,3,3,0,0,2,100,0,50,100,91,0.0025573495938680567,"[2053, 2521, 2537]","[2053, 2521, 2537]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-rain-90,3,2,1,0,3,99,0,40,67,62,0.0025573495938680567,"[2053, 2521, 2537]","[2521, 2537]",[2053],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-rain-100,2,2,0,0,1,100,0,40,100,87,0.0025573495938680567,"[2192, 2547]","[2192, 2547]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-rain-100,2,2,0,0,2,100,0,40,100,87,0.0025573495938680567,"[2192, 2547]","[2192, 2547]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-rain-100,2,2,0,0,3,100,0,40,100,87,0.0025573495938680567,"[2192, 2547]","[2192, 2547]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-snow-10,3,3,0,0,1,100,0,50,100,91,0.0025573495938680567,"[2103, 2232, 2705]","[2103, 2232, 2705]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-snow-10,3,3,0,0,2,100,0,50,100,91,0.0025573495938680567,"[2103, 2232, 2705]","[2103, 2232, 2705]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-snow-10,3,1,2,0,3,99,0,25,33,32,0.0025573495938680567,"[2103, 2232, 2705]",[2705],"[2103, 2232]",[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-snow-20,3,3,0,0,1,100,0,50,100,91,0.0025573495938680567,"[2191, 2264, 2798]","[2191, 2264, 2798]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-snow-20,2,2,0,1,2,100,0,40,100,87,0.0025573495938680567,"[2191, 2264, 2798]","[2191, 2798]",[],[2264]
dave2-p10-track1-mcd_5_S32,max,xai-track1-snow-20,2,1,1,1,3,99,0,25,50,45,0.0025573495938680567,"[2191, 2264, 2798]",[2798],[2191],[2264]
dave2-p10-track1-mcd_5_S32,max,xai-track1-snow-30,2,2,0,0,1,100,0,40,100,87,0.0025573495938680567,"[2123, 2608]","[2123, 2608]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-snow-30,2,2,0,0,2,100,0,40,100,87,0.0025573495938680567,"[2123, 2608]","[2123, 2608]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-snow-30,2,1,1,0,3,99,0,25,50,45,0.0025573495938680567,"[2123, 2608]",[2608],[2123],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-snow-40,2,2,0,0,1,100,0,40,100,87,0.0025573495938680567,"[1601, 3390]","[1601, 3390]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-snow-40,2,2,0,0,2,100,0,40,100,87,0.0025573495938680567,"[1601, 3390]","[1601, 3390]",[],[]
